plain_text_def,plain_text_term,gpt-3.5-turbo terms,gpt-4 terms
"



  * We say that a tropical curve (C, h) is irreducible if
 the underlying topological space of C has exactly 1
 component. The genus g(C,h) of an irreducible tropical curve (C, h) is the
genus (i.e., the first Betti number) of the underlying topological
space of C.

  * 
 The dual subdivision Δ_C of the parametrized
  tropical plane curve (C, h) is the unique subdivision of Δ
  whose 2-faces Δ_v correspond to the vertices v of h(C) such that
 the (images of) edges e of C are orthogonal to the
 edges e^⊥∈^2 of Δ_C and, further, that the
 lattice length of e^⊥ equals ω(e), see Figure <ref>.

  * The tropical curve (C, h) is nodal if its dual
  subdivision Δ_C consists only of triangles and
  parallelograms.

  * We say that (C, h) is simple if all vertices of
  C are 3-valent, the self-intersections of h are disjoint
  from vertices, and the inverse image under h of self-intersection
  points consists of exactly two points of C.

  *  
The number of nodes δ(C, h) of a nodal irreducible
  tropical curve of degree Δ is δ(C, h) = |Δ^0
  ∩^2|  - g(C, h), where |Δ^0
  ∩^2| is the number of interior lattice points of
  Δ. Equivalently, δ(C, h) is the number of
  parallelograms of the dual subdivision Δ_C if (C, h) is simple.

  * 
Let (C, h) be a nodal tropical curve with irreducible
  components (C_1, h_1), …, (C_t, h_t) (i.e.,
  C_i are the components of C and h_i are the
  restrictions of h to C_i), of degrees Δ_1, …,
  Δ_t and number of nodes δ_1, …, δ_t, respectively. (Note that the Minkowski sum Δ_1 +
  ⋯ + Δ_t equals Δ.) The number of nodes of
  (C, h) is

    δ(C, h) = ∑_i=1^t δ_i + ∑_i < j(Δ_i, Δ_j),

where (Δ_i, Δ_j) := 12((Δ_i+Δ_j)
- (Δ_i) - (Δ_j)) is the mixed area of Δ_i
and Δ_j. Here, (-) is the normalized area, given by twice the
Euclidian area in ^2.

 Equivalently, δ(C, h) is the number of
  parallelograms of the dual subdivision Δ_C if (C, h) is simple.

",irreducible;genus;dual subdivision;nodal;simple;number of nodes;number of nodes;mixed area;normalized,irreducible###genus###dual subdivision###parametrized tropical plane curve###lattice length###nodal###simple###number of nodes###irreducible components###Minkowski sum###mixed area###normalized area###Euclidian area###dual subdivision###simple,"irreducible tropical curve ### genus g(C,h) ### dual subdivision Δ_C ### nodal tropical curve ### simple tropical curve ### number of nodes δ(C, h)"
"

The refined vertex multiplicity of a 3-valent vertex v of a simple
tropical curve (C, h) is

    (v;y) = [(Δ_v)]_y.

The refined multiplicity of a simple
tropical curve (C, h) is

    (C, h;y) = ∏_v  [(Δ_v)]_y,

the product running over the 3-valent vertices of (C, h).
",refined vertex multiplicity;refined multiplicity,refined vertex multiplicity###3-valent vertex###simple tropical curve###refined multiplicity###tropical curve###product###3-valent vertices,refined vertex multiplicity###refined multiplicity
"
A Δ-floor diagram  consists of:


  * A graph on a vertex set {1, …, d}, possibly with
  multiple edges, with edges directed i → j if i < j.

  * A sequence (s_1, …, s_d) of non-negative integers such
  that s_1 + ⋯ + s_d =c. (If S = (1,1,m) then all s_i
  equal 0.)

  * (Divergence Condition) For each vertex j of , we have 

    div(j) def=∑_[ edges e;  j e→ k ](e) -   ∑_[ edges e;  i e→ j ](e)≤ m + s_j.


The last condition says that at every vertex of  the total weight of the outgoing edges
is larger by at most m + s_j than the total weight of the incoming edges.
",Δ-floor diagram,Δ-floor diagram###graph###vertex set###multiple edges###directed###sequence###non-negative integers###divergence condition###outgoing edges###incoming edges###total weight###larger###at most###,Δ-floor diagram###Divergence Condition
"

We define the refined multiplicity (, y) of a floor
diagram  as

    (, y) = ∏_edges e( [(e)]_y)^2.

",refined multiplicity,refined multiplicity###floor diagram###edges###y,refined multiplicity
"

A marking of a floor diagram  is defined by the following
four step process

Step 1: 
For each vertex j of  create s_j new indistinguishable vertices and
connect them to j with new edges directed towards j.

Step 2: For each vertex j of  create m+s_j- div(j) new
indistinguishable vertices and connect them to j with new edges
directed away from j. This makes the divergence of vertex j equal
to m.


Step 3: Subdivide each edge of the original floor
diagram  into two
directed edges by introducing a new
vertex for each edge. The new edges inherit their weights and orientations. Denote the
resulting graph .




(50,34)(45,-20)(12.5,2)(0,0)2
(17.5,2)(0,0)2
(2.5,0)(1,0)1
(7.5,0)(1,0)1
(12.5,0)(1,0)1
(17.5,0)(1,0)1
(27.5,1.75)(2,-1)1
(27.5,-1.75)(2,1)1
(22.5,1.75)(2,1)1
(22.5,-1.75)(2,-1)1

(5,0)*2
(15,0)*2
(25,2.5)*2
(25,-2.5)*2
(20.7,-0.7)(1,-1)4
(20.7,-0.7)(1,-1)3
(30.6,-0.8)(1,-1)4
(30.8,-0.6)(2,-1)9
(30.9,-0.4)(3,-1)14
(30.6,-0.8)(1,-1)2.5
(30.8,-0.6)(2,-1)5
(30.9,-0.4)(3,-1)7.5
(25,-5)*2
(35,-5)*2
(40,-5)*2
(45,-5)*2



The result of applying Steps 1-3 to the floor diagram of Example <ref>



Step 4: Linearly order the vertices of 
extending the order of the vertices of the original floor
diagram  such that, as before, each edge is directed from a
smaller vertex to a larger vertex.

The extended graph  together with the linear order on
its vertices is called a marked floor diagram , or a
marking of the original floor diagram .




(50,40)(65,-15)(12.5,2)(0,0)2
(17.5,2)(0,0)2
(0,0)(10,0)32
(40,0)(10,0)12
(5,0)(10,0)5*2
(30,0)(10,0)1*2
(50,0)(5,0)2*2
(1,0)(1,0)8
(11,0)(1,0)8
(2.5,0)(1,0)1
(7.5,0)(1,0)1
(12.5,0)(1,0)1
(17.5,0)(1,0)1
(21,0)(1,0)3
(22.5,0)(1,0)1
(20.6,0.6)(22,6)(25,6)(25,6)(28,6)(29.4,0.6)
(25,6)(1,0)1
(20.8,-0.6)(23.75,-3)(27.5,-3)(27.5,-3)(32.25,-3)(34.2,-0.6)
(27.5,-3)(1,0)1
(25.8,0.6)(28.75,3)(32.5,3)(32.5,3)(37.25,3)(39.2,0.6)
(32.5,3)(1,0)1
(36,0)(1,0)3
(37.5,0)(1,0)1
(41,0)(1,0)3
(42.5,0)(1,0)1
(40.8,0.6)(42,3)(45,3)(45,3)(48,3)(49.2,0.6)
(45,3)(1,0)1
(40.8,0.6)(43.5,5)(47.5,5)(47.5,5)(51.5,5)(54.2,0.6)
(47.5,5)(1,0)1



A marking of the floor diagram of Figure <ref>

",marking;marked floor diagram;marking,marking###floor diagram###vertex###edge###divergence###graph###linear order###marked floor diagram,marking of a floor diagram###marked floor diagram
"

A template Γ is a directed graph (possibly with multiple
edges) on vertices
{0, …, l}, where l≥ 1, with edge
weights (e) ∈_>0, satisfying:


  * If i → j is an edge, then i <j.

  * Every edge i e→ i+1 has weight (e) ≥
  2. (No “short edges.”)

  * For each vertex j, 1 ≤ j ≤ l-1, there is an edge
  “covering” it, i.e., there exists an edge i → k with i <j <k.

",template,template Γ###directed graph###multiple edges###vertices###edge weights###edge###short edges###covering###i###j###k###l,template
" <cit.>
Let 𝒜 be a central arrangement in R^d. 



  * Consider an affine hyperplane H which is in general position with respect to 𝒜. Then the number of regions of 𝒜 which  have a bounded (and non-empty) intersection with H equals T(𝒜; 1,0), the absolute value of the last coefficient of χ(𝒜;q). In particular, this number is independent of H.

  * Add to 𝒜 an affine hyperplane H' which is a parallel translation of one of the hyerplanes H ∈𝒜. The number of bounded regions of 𝒜∪ H' is the beta invariant hyperplane arrangement!beta invariant of 𝒜, which is the coefficient of x^1y^0 and of x^0y^1 in T(𝒜;x,y).
 In particular, this number is independent of H.

",beta invariant,"central arrangement###R^d###affine hyperplane###general position###number of regions###bounded intersection###absolute value###last coefficient###χ(𝒜;q)###independent of H###parallel translation###beta invariant###hyperplane arrangement###coefficient###x^1y^0###x^0y^1###T(𝒜;x,y)","beta invariant of 𝒜###T(𝒜; 1,0)"
" <cit.> Let 𝒜 be a central arrangement in ℂ^d.
Let E be the exterior algebra with generators e_H for each H ∈𝒜. For each ordered set of hyperplanes S={H_1, …, H_k} let e_S = e_H_1∧⋯∧ e_H_k and let ∂ e_S = ∑_j=1^k (-1)^j-1 e_S - H_j. Say that S is dependent if ∩ S > d - |S|, or equivalently, if l_H_1, …, l_H_k are linearly dependent. Then 

    H^*(V(𝒜), ℤ) ≅ E / ⟨ ∂ e_S   :   S ⊆ 𝒜 is dependent ⟩.


",dependent;Orlik-Solomon algebra,"central arrangement###ℂ^d###exterior algebra###generators###hyperplanes###e_S###∂ e_S###dependent###∩ S###d - |S|###l_H_1, …, l_H_k###linearly dependent###H^*(V(𝒜), ℤ)###E###⟨ ∂ e_S   :   S ⊆ 𝒜 is dependent ⟩",central arrangement in ℂ^d###exterior algebra###ordered set of hyperplanes###dependent
"
Let A ⊆ℤ^d be a set of integer vectors and let the zonotope of A be the Minkowski sum of the vectors in A; that is,

    Z(A) = {∑_a ∈ Aλ_a a   :   0 ≤λ_a ≤ 1  for  a ∈ A}.



  * The volume of the zonotope Z(A) is M(A;1,1).

  * The zonotope Z(A) contains M(A;2,1) lattice points, M(A;0,1) of which are in its interior. 

  * The Ehrhart polynomial of the zonotope Z(A), which counts the lattice points in the dilation qZ(A) for q ∈ℕ, equals q^rM(A;1+1/q,1). 

",zonotope,zonotope###Minkowski sum###volume###Ehrhart polynomial###lattice points###interior###dilation###,zonotope of A###Ehrhart polynomial of the zonotope Z(A)
"
Let A ⊂ℤ^d  and T=Hom(ℤ^d,G) for a  group G. Consider the toric arrangement of A and its complementtoric arrangement!complement, namely,

    𝒯(A) = {T_a   :   a ∈ A},      R(A) = T  ∖⋃_a ∈𝒯(A) T_a.




  * <cit.> If G = 𝕊^1, the number of regions of R(A) in the torus (𝕊^1)^d is equal to  M(A;1,0).


  * <cit.> If G=ℂ^*, the Poincaré polynomial of R(A) is equal to  q^rM(A;2+1/q,0).


  * <cit.> (Finite Field Method) If G=𝔽_q+1^* where q+1 is a prime power, then the number of elements of R(A) is (-1)^rq^d-rM(A;1-q,0), the arithmetic characteristic polynomial . Furthermore,

    ∑_p ∈ (𝔽^*_q+1)^d t^h(p) = (t-1)^r q^d-r M(A; q+t-1/t-1, t ),

where h(p) is the number of hypertori of 𝒯(A) that p lies on.

",toric arrangement;complement;arithmetic characteristic polynomial,"toric arrangement###complement###M(A;1,0)###Poincaré polynomial###M(A;2+1/q,0)###Finite Field Method###arithmetic characteristic polynomial###h(p)###hypertori",toric arrangement###complementtoric arrangement###regions of R(A)###Poincaré polynomial of R(A)###number of elements of R(A)###arithmetic characteristic polynomial###number of hypertori of 𝒯(A)
"A hyperplane arrangement 𝒜 
hyperplane arrangement
is a collection of affine hyperplanes in V. For each hyperplane H ∈𝒜, 
let l_H ∈ V^* be a nonzero linear functionals and b_H ∈k be a scalar such that 

    H = { x ∈ V   :   l_H(x) = b_H}.

",hyperplane arrangement,hyperplane arrangement###affine hyperplanes###V###hyperplane###l_H###V^*###linear functionals###b_H###k###scalar,hyperplane arrangement###nonzero linear functionals###scalar
"
The intersection poset  hyperplane arrangement!intersection posetL_𝒜 is the set of flats partially ordered by reverse inclusion of the flats (or inclusion of the sets of hyperplanes containing them). This is a ranked poset, with r(F) =  V -  F.
",intersection poset,intersection poset hyperplane arrangement###intersection poset L_𝒜###flats###reverse inclusion###inclusion###hyperplanes###ranked poset###r(F)###V###F,intersection poset###ranked poset
"
Let 𝒜 be a hyperplane arrangement  in a vector space V.
If 𝒜 is central, the matroid  hyperplane arrangement!matroid M(𝒜)  of 𝒜 
 is the matroid on the ground set 𝒜 given by the rank function

    r(ℬ) =  V - ⋂ℬ     for ℬ⊆𝒜.

In general, the semimatroid hyperplane arrangement!semimatroid of 𝒜  is the collection of central subsets together with their ranks.
",matroid;semimatroid,hyperplane arrangement###central###matroid###matroid M(𝒜)###ground set###rank function###semimatroid###collection###central subsets###ranks,hyperplane arrangement###central###matroid###rank function###semimatroid###central subsets
"
For a hyperplane H of an 
Let 𝒜 be an arrangement in V and let H be a hyperplane in 𝒜.


  * The  deletion  hyperplane arrangement!deletion
 


    𝒜\ H = {A ∈𝒜  :   A ≠ H}



is the arrangement in the same ambient space V consisting of the hyperplanes other than H.

  * The contraction  hyperplane arrangement!contraction

    𝒜 / H = {A ∩ H   :   A ∈𝒜, A ≠ H}

is the arrangement in the new ambient space H consisting of the intersections of the other hyperplanes with H.

",deletion;contraction;contraction,deletion###contraction,deletion hyperplane arrangement###contraction hyperplane arrangement
" The centralization hyperplane arrangement!centralization or cone hyperplane arrangement!cone of a hyperplane arrangement 𝒜 in k^d is the arrangement c𝒜 in k^d+1 obtained by converting each hyperplane a_1x_1 + ⋯ + a_dx_d = a in k^d into the hyperplane a_1x_1 + ⋯ + a_dx_d = ax_d+1 in k^d+1, and adding the new hyperplane x_d+1=0.
",centralization;cone,centralization hyperplane arrangement###cone hyperplane arrangement###hyperplane arrangement###c𝒜###hyperplane###k^d###k^d+1###a_1x_1 + ⋯ + a_dx_d = a###a_1x_1 + ⋯ + a_dx_d = ax_d+1###x_d+1=0,centralization of a hyperplane arrangement###cone of a hyperplane arrangement
"
The essentialization hyperplane arrangement!essentialization of  a central arrangement 𝒜 in V is the arrangement 
ess(𝒜) = {H / L    :   H ∈𝒜} in the quotient vector space V/L. 
",essentialization,essentialization hyperplane arrangement###essentialization,essentialization hyperplane arrangement###essentialization
"
The Möbius function hyperplane arrangement!Möbius function μ: L(𝒜) →ℤ of (the intersection poset of) an arrangement 𝒜 is defined recursively by decreeing that for every flat G ∈ L(𝒜),

    ∑_F ≤ Gμ(F) = 
    1     if  G  is the minimum element of  L(𝒜), 
    
    0     otherwise.

The characteristic polynomial hyperplane arrangement!characteristic polynomial of 𝒜 is 

    χ(𝒜;q) = ∑_F ∈ L_𝒜μ(F) q^ F.

",Möbius function;characteristic polynomial,Möbius function###characteristic polynomial,Möbius function###characteristic polynomial
"
The Tutte polynomial hyperplane arrangement!Tutte polynomial of an arrangement 𝒜 in a vector space V is

    T(𝒜;x,y) = ∑_ℬ⊆𝒜ℬ central (x-1)^r-r(ℬ)  (y-1)^|ℬ|-r(ℬ),

where the sum is taken over all the central subarrangements ℬ of 𝒜,
and we write r(ℬ) =  V - ⋂ℬ and r=r(𝒜). 
",Tutte polynomial,Tutte polynomial###hyperplane arrangement###central subarrangements###r(ℬ)###r(𝒜),Tutte polynomial of an arrangement
"
A function f:HypArr→ R is a generalized Tutte-Grothendieck invariant hyperplane arrangement!Tutte-Grothendieck invariant if f(𝒜_1) = f(𝒜_2) for any arrangements 𝒜_1 and 𝒜_2 with isomorphic semimatroids, and if 
for every arrangement 𝒜 and every hyperplane H ∈𝒜, we have

    f(𝒜) =
     
    a f(𝒜\ H) +  b f(𝒜 / H)      if H is neither a loop nor a coloop
    
    f(𝒜\ H) f(L)      if H is a loop
    
    f(𝒜 / H) f(C)      if H is a coloop

for some non-zero constants a,b ∈ R. Here f(L) and f(C) denote the (necessarily well-defined) function of a single loop L and a single coloop C, respectively. We say f(𝒜)  is a Tutte-Grothendieck invariant when a=b=1.
",generalized Tutte-Grothendieck invariant;Tutte-Grothendieck invariant,Tutte-Grothendieck invariant###hyperplane arrangement###semimatroids###loop###coloop###,generalized Tutte-Grothendieck invariant###Tutte-Grothendieck invariant
"
The coboundary polynomial hyperplane arrangement!coboundary polynomial χ(𝒜;X,Y) is the following simple transformation of the Tutte polynomial:

    χ(𝒜;X,Y) = (Y-1)^rT(𝒜 ; X+Y-1/Y-1, Y).

A simple change of variables allows us to recover T(𝒜;x,y) from χ(𝒜;X,Y).
",coboundary polynomial,coboundary polynomial hyperplane arrangement###Tutte polynomial,coboundary polynomial
"  <cit.>
The multivariate Tutte polynomial hyperplane arrangement!multivariate Tutte polynomial of a hyperplane arrangement 𝒜  is 

    Z(𝒜;q, 𝐰) = ∑_ℬ⊆𝒜ℬ central
    q^-r(ℬ)∏_e ∈ℬ w_e

where q and (w_e)_e ∈ℬ are indeterminates. 
",multivariate Tutte polynomial,"multivariate Tutte polynomial hyperplane arrangement###hyperplane arrangement###Z(𝒜;q, 𝐰)###ℬ###central###q^-r(ℬ)###w_e",multivariate Tutte polynomial of a hyperplane arrangement
"

For a collection A ⊆ℤ^d of integer vectors, the arithmetic Tutte polynomial arithmetic Tutte polynomial
 is

    M(A;x,y)= ∑_B ⊆A m(B)(x-1)^r-r(B)(y-1)^|B|-r(B)

where, for each B ⊆ A, the multiplicity m(B) is the index of ℤ B as a sublattice of (span   B) ∩ℤ^d. If we use the vectors in B as the  columns of a matrix, then m(B) equals the greatest common divisor of the minors of full rank. The arithmetic characteristic polynomial of A is (-1)^rq^d-rM(1-q,0). arithmetic characteristic polynomial
",arithmetic Tutte polynomial;multiplicity;arithmetic characteristic polynomial,arithmetic Tutte polynomial###arithmetic characteristic polynomial,arithmetic Tutte polynomial###arithmetic characteristic polynomial
"
A square of R is a quadruple (x,w,y,z) of morphisms  of G   such that xw=yz and x(Φ_w)=Φ_y:

    a @>w>> b
    
    @VVzV @VVxV
    
    c @>y>> d

",square,square of R###quadruple###morphisms###G###x###w###y###z###Φ_w###Φ_y###a###b###@>w>>###@VVzV###@VVxV###c###d,square of R
"We say that a subset A of Φ is a half set if A  A^*=Φ.  For half sets A and B of Φ,  we define d(A,B)=| A+B|/2=|Φ|/2 -| A∩ B| where + denotes the symmetric difference operation  (that is, A+B:=(A∪ B)∖ (A∩ B)).
",half set,"half set###subset###Φ###d(A,B)###symmetric difference operation###A+B###A∪B###A∩B","half set###d(A,B)"
"
Let  R=(G,Φ,Φ^+) as above and let  M'=(E,-,c) be any (possibly infinite) oriented matroid.  We define an embedding of R in M' to be an injective   map  fΦ→ E  such that f(α^*)=-f(α) for any α∈Φ and one has c (f(aΠ))∩ f(Φ)=f(aΦ^+) for any a∈  (G).

If there is real vector space V such  that M' is the standard oriented matroid
M'=(E, -,c) (where E=V∖{0},  -x is the  additive inverse of x∈ E and
c(X)=(X)∩ E for all X⊆ E), we also  call an embedding  f of R in M' a realization of R in V.",embedding;realization,"embedding, oriented matroid, injective map, real vector space, standard oriented matroid, realization",embedding of R in M'###realization of R in V
"
        A _2-characteristic map over K, or simply a characteristic map , is a map λ [m] →_2^m such that the following holds:
        
    if {i_1,…,i_n}∈ K, then {λ(i_1),…,λ(i_n)} is linearly independent.∗

        The condition (<ref>) is known as the non-singularity condition . Two characteristic maps λ_1, λ_2  [m] →_2^n over K are called Davis-Januszkiewicz equivalent , or D-J equivalent , if there exists a linear isomorphism ϕ∈ GL(n, _2) such that λ_2 = ϕ∘λ_1. The equivalence classes themselves are called Davis-Januszkiewicz classes or D-J classes . 
    ",_2-characteristic map;characteristic map;non-singularity condition;Davis-Januszkiewicz equivalent;D-J equivalent;Davis-Januszkiewicz classes;D-J classes;characteristic pair,"characteristic map###non-singularity condition###Davis-Januszkiewicz equivalent###D-J equivalent###linear isomorphism###GL(n, _2)###Davis-Januszkiewicz classes###D-J classes",2-characteristic map###non-singularity condition###Davis-Januszkiewicz equivalent###D-J equivalent###Davis-Januszkiewicz classes###D-J classes
"
        For a characteristic map λ [m] →_2^n and a face σ of K, the projection of λ with respect to σ is defined as
        
    (_σλ )(w) = [λ(w)]∈_2^n/⟨λ(v)| v∈σ⟩≅_2^n - |σ|

        when w is a vertex of _K σ. The projection is well defined up to D-J equivalence. When σ  = {v} is a vertex, one can simply write _σλ = _v λ.
    ",projection of λ with respect to σ,projection###characteristic map###face###well defined###D-J equivalence###vertex,projection of λ with respect to σ###D-J equivalence
"
    Let K be a polytopal simplicial complex and define V,E, and S as follows.
    
        
  * V is the set of the D-J classes over K.
        
  * E is the set of the D-J classes over _pK where p is a vertex of K.
        
  * S is the set of the D-J classes over _p,qK where p and q are distinct vertices of K.
    
    The triple (V,E,S) is called the diagram of K and is denoted by D(K). The elements of V,E, and S are called the nodes , edges , and realizable squares of D(K) respectively.
    ",diagram;nodes;edges;realizable squares,V###E###S###nodes###edges###realizable squares###D(K)###diagram of K###polytopal simplicial complex,V###E###S###diagram of K###nodes###edges###realizable squares
"
        A realizable puzzle over K is a pseudograph homomorphism π G(J) → D(K) such that
        
            
  * π preserves the coloring of the edges, and
            
  * each image of the subsquare of G(J) is a realizable square in D(K).
        
    ",realizable puzzle,realizable puzzle###pseudograph homomorphism###π###G(J)###D(K)###coloring###edges###image###subsquare###realizable square,realizable puzzle over K###pseudograph homomorphism###realizable square in D(K)
"
        The set {μ_ , μ_,̱μ_}̧ is a D-J class over P_m if it satisfies the following:
        
          
  * {μ_ , μ_,̱μ_}̧ is a weak partition of [m], that is, it is a partition of [m] and one of μ_i could be empty.
          
  * all of μ_ , μ_,̱ and μ_$̧ are non-consecutive.",D-J class,D-J class###P_m###weak partition###non-consecutive,D-J class
"
        For a characteristic map λ over P_m and p∈[m], the support of p for λ, denoted by _λ p, is _λ p = λ^-1(λ(p)). Since _λ p =_λ' p whenever λ and λ' are D-J equivalent, the support _λ p is well defined for a D-J class λ.
    ",support,support###characteristic map###P_m###D-J equivalent###D-J class,support of p for λ###D-J class λ
"
        For a D-J class λ over P_m, an ordered pair (p,S) is called an e-set (compatible with λ) if it satisfies the following
        
            
  * p ∈ [m],
            
  * S ⊂ [m] is of even cardinality, and
            
  * 
            S ⊂_λ p.
        
    ",e-set,e-set###D-J class###λ###P_m###p###S###even cardinality###⊂_λ,e-set
"
        For a D-J class λ = {μ_, μ_,̱μ_}̧ over P_m, an ordered pair (p,S) is called an e-set (compatible with λ) if it satisfies the following
        
            
  * p ∈ [m],
            
  * S ⊂ [m] is of even cardinality, and
            
  * all elements of {p}∪ S are mutually λ-equivalent, that is, {p}∪ S ⊂μ_i for some i.
        

        In particular (p, ∅) is always an e-set for any λ. 
    ",e-set;empty e-set,e-set###λ,e-set
"
        Let (p,S) and (q,T) be two e-sets compatible with λ.
        
            
  * Two e-sets (p,S) and (q,T) of [m] are type 1 λ-related if and only if  either one of S and T is empty, or p and q are λ-equivalent.
            
  * Two e-sets (p,S) and (q,T) of [m] are type 2 λ-related if and only if S and T are nonempty, p and q are not λ-equivalent, and Ω_q(S) ∩Ω_p(T) = ∅.
        
        In addition, (p,S) and (q,T) are said to be λ-related if they are either type 1 λ-related or type 2 λ-related.
    ",λ-related,"compatible, e-sets, type 1 λ-related, type 2 λ-related, λ-equivalent, Ω_q(S), Ω_p(T), λ-related###",type 1 λ-related ### type 2 λ-related ### λ-related
"

Let H:→ _>0 be a function. We think of H as a “height function”, and for all p∈ and q∈, we define the height of p/q to be the number H(p/q). We say that a function ψ :_>0→ _>0 is a Dirichlet function (with respect to the height function H) if for every x∈∖ there exist infinitely many rationals p/q such that

    |x-p/q|<ψ(H(p/q)).

In our other papers we introduce a constant factor... maybe we should try to be consistent?
",height;Dirichlet function,Dirichlet function###height function###,height function###Dirichlet function
"

We say that a Dirichlet function ψ is optimal if there does not exist a Dirichlet function ϕ for which lim_q→∞ϕ(q)/ψ(q)→ 0.
",optimal,Dirichlet function###optimal###Dirichlet function###ψ###Dirichlet function###ϕ###lim_q→∞ϕ(q)/ψ(q)→ 0,optimal Dirichlet function
"

Let F ⊂ be a closed set, and let H:F∩→ _>0 be a height function. We say that a function ψ :_>0→ _>0 is an intrinsic Dirichlet function on F (with respect to the height function H) if for every x∈ F∖ there exist infinitely many rationals p/q ∈ F∩ such that

    |x-p/q|<ψ(H(p/q)).

Optimality of intrinsic Dirichlet functions can be defined in the same way as in Definition <ref>.
",intrinsic Dirichlet function on F,intrinsic Dirichlet function###height function###closed set###rationals###Optimality,intrinsic Dirichlet function###Optimality of intrinsic Dirichlet functions
"[Special case of <cit.>]
Let F be a base  limit set, and let δ denote the Hausdorff dimension of F. A number x∈ F is called badly symbolically approximable (with respect to ψ_*) if there exists κ > 0 such that for every r = p_/q_∈ F∩, we have

    |x-r| ≥κ/q_(log_ q_)^1/δ.

",badly symbolically approximable (with respect to ψ_*),Hausdorff dimension###badly symbolically approximable###,badly symbolically approximable
"
A terminal face graph G in  (m,n) is one for which there exist no TT edge contractions G → G' with G' ∈(m,n). 
",terminal face graph,"terminal face graph###TT edge contractions###(m,n)",terminal face graph
"
Let G be a face graph with a single B-labelled face and consider a planar realisation in which the unbounded face is labelled by B. Let c be a proper cycle in G. 

Define G_1 to be the face graph obtained from G and c by,



  * removing all edges and vertices interior to c, and,

  * if |c|≥4, viewing the edges of c as the boundary of a new face with label  H. 



Define G_2 to be the face graph obtained from G and c by,



  * removing all edges and vertices which are exterior to c, and, 

  * if |c|≥4, viewing the edges of c as the boundary of a new face with label  B. 


This division process G →{G_1, G_2} is referred to as a separating cycle division for the face graph G and cycle c. 
",separating cycle division,separating cycle division###G_1###G_2###face graph###cycle,G_1###G_2###separating cycle division
"
A face graph G in (m,n) is  indivisible if every critical separating cycle for G is the boundary cycle of a face 
of G.
",indivisible,indivisible###critical separating cycle###boundary cycle###face graph,indivisible
"
A proper cycle c in a face graph G is called a critical girth cycle for G if, for some planar realisation of G,

    |c| =  |()|+3

where  is the collection of B-labelled and H-labelled faces of G which lie inside c.

",critical girth cycle,critical girth cycle###planar realisation###B-labelled###H-labelled###face graph G###collection###inside c,critical girth cycle
"
  (Dominance order) Let λ = (λ_1, …, λ_r) and μ = (μ_1,
  …, μ_s) be partitions of n. We say that λμ (λ dominates μ) if ∑_j=1^iλ_i ≥∑_j=1^iμ_i for all i (where we define λ_i = 0 for all i > r, and μ_j = 0 for all j > s).
",dominates,dominance order###partitions###dominates###,Dominance order
"
Let λ,μ be partitions of n. A generalized λ-tableau is produced by placing a number between 1 and n in each space of the Young diagram of λ; if it has μ_i i's (1 ≤ i ≤ n), then it is said to have content μ. A generalized λ-tableau is said to be semistandard if the numbers are non-decreasing along each row and strictly increasing down each column.
",generalized;tableau;content;semistandard,semistandard###generalized λ-tableau###content,generalized λ-tableau###semistandard
"
Let λ be a partition of n. A λ-tableau is said to be standard if the numbers are strictly increasing along each row and down each column.
",standard,partition###n###λ-tableau###standard,λ-tableau###standard
"Given an Adinkra A, and a vertex v of A, we define vertex switching at v to be the operation on A that returns a new Adinkra A̅ with the same vertices, edges, coloring, and grading but a new dashing μ̅ so that

    μ̅(e)=
    1-μ(e),   
    μ(e),

We leave to the reader to check that μ̅ is still an admissible dashing; since the vertices, edges, coloring, and grading(s) are the same, A̅ remains an Adinkra. We also use a vertex switching of A to refer to a composition of vertex switchings at various vertices of A.",Vertex switching,vertex switching###Adinkra###dashing###admissible dashing###composition###vertices###edges###coloring###grading,vertex switching
